Name,County
Alameda,Alameda
Albany,Alameda
American Canyon,Napa
Antioch,Contra Costa
Atherton,San Mateo
Belmont,San Mateo
Belvedere,Marin
Benicia,Solano
Berkeley,Alameda
Brentwood,Contra Costa
Brisbane,San Mateo
Burlingame,San Mateo
Calistoga,Napa
Campbell,Santa Clara
Castro Valley,Alameda
Clayton,Contra Costa
Cloverdale,Sonoma
Colma,San Mateo
Concord,Contra Costa
Corte Madera,Marin
Cotati,Sonoma
Cupertino,Santa Clara
Daly City,San Mateo
Danville,Contra Costa
Dixon,Solano
Dublin,Alameda
East Palo Alto,San Mateo
El Cerrito,Contra Costa
Emeryville,Alameda
Fairfax,Marin
Fairfield,Solano
Foster City,San Mateo
Fremont,Alameda
Gilroy,Santa Clara
Half Moon Bay,San Mateo
Hayward,Alameda
Healdsburg,Sonoma
Hercules,Contra Costa
Hillsborough,San Mateo
Lafayette,Contra Costa
Larkspur,Marin
Livermore,Alameda
Los Altos,Santa Clara
Los Altos Hills,Santa Clara
Los Gatos,Santa Clara
Martinez,Contra Costa
Menlo Park,San Mateo
Mill Valley,Marin
Millbrae,San Mateo
Milpitas,Santa Clara
Monte Sereno,Santa Clara
Moraga,Contra Costa
Morgan Hill,Santa Clara
Mountain View,Santa Clara
Napa,Napa
Newark,Alameda
Novato,Marin
Oakland,Alameda
Oakley,Contra Costa
Orinda,Contra Costa
Pacifica,San Mateo
Palo Alto,Santa Clara
Petaluma,Sonoma
Piedmont,Alameda
Pinole,Contra Costa
Pittsburg,Contra Costa
Pleasant Hill,Contra Costa
Pleasanton,Alameda
Portola Valley,San Mateo
Redwood City,San Mateo
Richmond,Contra Costa
Rio Vista,Solano
Rohnert Park,Sonoma
Ross,Marin
San Anselmo,Marin
San Bruno,San Mateo
San Carlos,San Mateo
San Francisco,San Francisco
San Jose,Santa Clara
San Leandro,Alameda
San Mateo,San Mateo
San Pablo,Contra Costa
San Rafael,Marin
San Ramon,Contra Costa
Santa Clara,Santa Clara
Santa Rosa,Sonoma
Saratoga,Santa Clara
Sausalito,Marin
Sebastopol,Sonoma
Sonoma,Sonoma
South San Francisco,San Mateo
St. Helena,Napa
Suisun City,Solano
Sunnyvale,Santa Clara
Tiburon,Marin
Union City,Alameda
Vacaville,Solano
Vallejo,Solano
Walnut Creek,Contra Costa
Windsor,Sonoma
Woodside,San Mateo
Yountville,Napa
