Name ,Type,Image_file,Original_name,Status
antiques,sales,/db/images/antique-typewriter.jpg,Antiques,active
apparel: bags & such,sales,/db/images/apparel.jpg,Apparel: Bags & Such,inactive
apparel,sales,/db/images/pile-of-clothes.jpg,Apparel: Clothes,active
apparel: jewelry,sales,/db/images/bracelet.jpg,Apparel: Jewelry,inactive
arts & crafts,sales,/db/images/glass-arts-and-crafts.jpg,Arts & Crafts,active
automotive,Services ,/db/images/muscle-car.jpg,Automotive,active
baby & kids: childcare,Services ,/db/images/babies.jpg,Baby & Kids: Childcare,inactive
baby & kids,sales,/db/images/baby-buggy.jpg,Baby & Kids: Stuff,active
beauty,Services ,/db/images/beauty.jpg,Beauty,active
bikes,sales,/db/images/bike2.jpg,Bikes,active
boats,sales,/db/images/rowboat.jpg,Boats,active
books,sales,/db/images/text-books.jpg,Books,active
classes & lessons,Services ,/db/images/small-chalkboard.jpg,classes/tutoring/ lessons,active
collectibles,sales,/db/images/collectibles.jpg,collectibles,active
deals,sales,/db/images/coupons.jpg,Deals,active
electronics: audio,sales,/db/images/turntable.jpg,Electronics: Audio,active
electronics: cell phones,sales,/db/images/cell.jpg,Electronics: Cell Phones,active
electronics: computer,sales,/db/images/apple-mac.jpg,Computer,Electronics: Computer,active
electronics: stuff,sales,/db/images/tv.jpg,Electronics: Stuff,active
events,Services ,/db/images/events.jpg,Events,active
focus groups,Services ,/db/images/focus-groups.jpg,Focus Groups,inactive
furniture,sales,/db/images/furniture.jpg,Furniture,active
household appliances,sales,/db/images/fridge.jpg,Housing: Appliances,active
housing: for rent,Services,/db/images/for-rent.jpg,Housing: For Rent,active
housing: for sale,sales,/db/images/house-for-sale.jpg,Housing: For Sale,active
housing: move,Services ,/db/images/moving.jpg,Housing: Move,active
housing: roommates,services,/db/images/roommate.jpg,Housing: Roommates,active
jobs,Employment,/db/images/job-openings.jpg,Jobs,active
lost & found,Services ,/db/images/Lost-and-Found.jpg,Lost & Found,active
motorcycle,sales,/db/images/motorcycle.jpg,Motorcycle,active
music,sales,/db/images/music.jpg,Music,active
pets,Services ,/db/images/pets.jpg,Pets,active
photo & video,sales,/db/images/old-camera.jpg,Photo & Video,active
ride share,Services ,/db/images/medium-carpool.jpg,Ride Share,inactive
scholarships,Services ,/db/images/photo1.jpg,Scholarships,active
service: financial,Services,/db/images/financial.jpg,Service: Financial,inactive
service: handiwork,Services ,/db/images/tools.jpg,Service: Handiwork,inactive
services,Services ,/db/images/housework.jpg,Service: House Cleaning,active
service: legal,Services ,/db/images/law.jpg,Service: Legal,inactive
stuff,sales,/db/images/stuff.jpg,Stuff,active
tickets for sale,sales,/db/images/tickets.jpg,Tickets,active
toys & games,sales,/db/images/rubics-cube2.jpg,Toys & Games,active
travel,Services ,/db/images/travelsuitcase.jpg,Travel,active
video games,sales,/db/images/videogames.jpg,Video Games,inactive
sports equipment,sales,/db/images/sport1.jpg,,active
