City,Region,Assigned To,Filename
Anaheim,Los Angeles Metropolitan Area,,Anaheim.jpg
Beverly Hills,Los Angeles Metropolitan Area,,BeverlyHills.jpg
Chino Hills,Los Angeles Metropolitan Area,,ChinoHills.jpg
Los Angeles - Downtown,Los Angeles Metropolitan Area,,DowntownLA.jpg
Los Angeles - Encino,Los Angeles Metropolitan Area,,Encino.jpg
Malibu,Los Angeles Metropolitan Area,,Malibu.jpg
Manhattan Beach,Los Angeles Metropolitan Area,,ManhattanBeach.jpg
Los Angeles - Westwood,Los Angeles Metropolitan Area,,Westwood.jpg
Santa Monica,Los Angeles Metropolitan Area,,SantaMonica.jpg
Los Angeles - Venice,Los Angeles Metropolitan Area,Mahesh,VeniceBeach.jpg
Irvine,Los Angeles Metropolitan Area,Mahesh,Irvine.png
Long Beach,Los Angeles Metropolitan Area,Mahesh,LongBeach.jpg
Alameda,SF Bay Area,Mahesh,Alameda.jpg
Berkeley,SF Bay Area,Mahesh,Berkeley.jpg
Burlingame,SF Bay Area,Mahesh,Burlingame.jpg
Foster City,SF Bay Area,Mahesh,FosterCity.jpg
Fremont,SF Bay Area,Mahesh,Fremont.jpg
Hayward,SF Bay Area,Mahesh,Hayward.jpg
Menlo Park,SF Bay Area,Mahesh,MenloPark.jpg
Mill Valley,SF Bay Area,Mahesh,MillValley.jpg
Millbrae,SF Bay Area,Mahesh,Milbrae.jpg
Mountain View,SF Bay Area,Mahesh,MountainView.jpg
Oakland,SF Bay Area,Mahesh,Oakland.jpg
Palo Alto,SF Bay Area,Mahesh,PaloAlto.jpg
Pleasanton,SF Bay Area,Mahesh,Pleasanton.jpg
Redwood City,SF Bay Area,Barisa,RedwoodCity.jpg
"Richmond, CA",SF Bay Area,Barisa,Richmond_SF.jpg
San Bruno,SF Bay Area,Barisa,SanBruno_SF.jpg
San Francisco,SF Bay Area,Barisa,SanFrancisco.jpg
San Jose,SF Bay Area,Barisa,SanJose.jpg
San Rafael,SF Bay Area,Barisa,SanRafael.jpg
Sausalito,SF Bay Area,Barisa,Sausalito.jpg
Walnut Creek,SF Bay Area,Barisa,WalnutCreek.jpg
New York (Manhattan),,Barisa,manhattan.jpg
Brooklyn,,Barisa,brooklyn.jpg
Queens,,Barisa,queens.jpg
The Bronx,,Barisa,bronx.jpg
Staten Island,,Barisa,statenisland.jpg
Chicago,,Barisa,chicago.jpg
Philadelphia,,Barisa,philadelphia.jpg
Dallas,,Barisa,Dallas.jpg
Boston,,Thomas,Boston.jpg
"Washington, DC",,Thomas,WashingtonDC.jpg
Atlanta,,Thomas,Atlanta.jpg
Houston,,Thomas,Houston.jpg
Detroit,,Thomas,Detroit1.jpg
Phoenix,,Thomas,Phoenix.jpg
Seattle,,Thomas,Seattle.jpg
Tampa,,Thomas,Tampa.jpg
Minneapolis,,Thomas,Minneapolis.jpg
Miami,,Thomas,Miami.jpg
Denver,,Thomas,Denver1.jpg
Orlando,,Thomas,Orlando1.jpg
Cleveland,,Thomas,Cleveland1.jpg
Sacramento,,Thomas,Sacramento1.jpg
St. Louis,,Thomas,StLouis.jpg
Portland,,Thomas,Portland1.jpg
Pittsburgh,,Thomas,Pittsburgh1.jpg
Raleigh,,Soham,Raleigh1.jpg
Charlotte,,Soham,Charlotte1.jpg
Indianapolis,,Soham,Indianapolis1.jpg
Baltimore,,Soham,Baltimore1.jpg
San Diego,,Soham,SD1.jpg
Nashville,,Soham,Nashville1.jpg
Hartford,,Soham,Hartford1.jpg
Kansas City,,Soham,KansasCity1.jpg
Columbus,,Soham,Columbus1.jpg
Salt Lake City,,Soham,SLC1.jpg
Milwaukee,,Soham,Milwaukee1.jpg
Cincinnati,,Soham,Cincinnati1.jpg
San Antonio,,Soham,SanAntonio1.jpg
Austin,,Soham,Austin1.jpg
Oklahoma City,,Soham,OKC1.jpg
Las Vegas,,Soham,LV.jpg
Norfolk,,Soham,Norfolk.jpg
