Name,City,State,Filename,Name
SF Bay Area,San Francisco,CA,bay_bridge.jpg,Sean
Metro Detroit Area,Detroit,MI,,Sean
New York Metropolitan Area,New York City,NY,,Monica
Los Angeles Metropolitan Area,Los Angeles,CA,,Monica
Chicagoland,Chicago,IL,,Monica
Dallas/Fort Worth Metroplex,Dallas,TX,,Monica
Greater Houston,Houston,TX,,Monica
Delaware Valley,Philadelphia,PA,,Monica
Washington Metropolitan Area,Washington,D.C.,,Monica
Miami Metropolitan Area,Miami,FL,,Monica
Metro Atlanta,Atlanta,GA,,Monica
Greater Boston,Boston,MA,,Monica
Valley of the Sun,Phoenix,AZ,,Monica
Inland Empire,Riverside,CA,,Monica
Seattle Metro,Seattle,WA,,Jennifer
Minneapolis-Saint Paul,Minneapolis,MN,,Jennifer
San Diego County,San Diego,CA,,Jennifer
Tampa Bay Area,Tampa,FL,,Jennifer
Greater St. Louis,St. Louis,MO,,Jennifer
Central Maryland,Baltimore,MD,,Jennifer
Denver Metropolitan Area,Denver,CO,,Jennifer
Pittsburgh Metropolitan Area,Pittsburgh,PA,,Jennifer
Charlotte Metro,Charlotte,NC,,Jennifer
Portland Metropolitan Area,Portland,OR,,Jennifer
Greater San Antonio,San Antonio,TX,,Jennifer
Metro Orlando,Orlando,FL,,Jennifer
Greater Sacramento,Sacramento,CA,,Kirk
Greater Cincinnati,Cincinnati,OH,,Kirk
Greater Cleveland,Cleveland,OH,,Kirk
Kansas City Metropolitan Area,Kansas City,MO,,Kirk
Las Vegas Metropolitan Area,Las Vegas,NV,,Kirk
Columbus Metropolitan Area,Columbus,OH,,Kirk
Greater Indianapolis,Indianapolis,IN,,Kirk
Greater Austin,Austin,TX,,Kirk
Nashville Metropolitan Area,Nashville,TN,,Kirk
Hampton Roads,Virginia Beach,VA,,Kirk
Providence Metropolitan Area,Providence,RI,,Kirk
Metro Milwaukee,Milwaukee,WI,,Kirk
Metro Jacksonville,Jacksonville,FL,,Jordan
Memphis Metropolitan Area,Memphis,TN,,Jordan
Oklahoma City Metro,Oklahoma City,OK,,Jordan
Louisville Metropolitan Area,Louisville,KY,,Jordan
Richmond Metropolitan Area,Richmond,VA,,Jordan
New Orleans Metropolitan Area,New Orleans,LA,,Jordan
Greater Hartford,Hartford,CT,,Jordan
Research Triangle,Raleigh,NC,,Jordan
Salt Lake City Metropolitan Area,Salt Lake City,UT,,Jordan
Greater Birmingham,Birmingham,AL,,Jordan
Buffalo-Niagara Falls Metropolitan Area,Buffalo,NY,,Jordan
Rochester Metropolitan Area,Rochester,NY,,Jordan
